label,desc,thr,n,n_pos,pred_pos,tp,fp,fn,prevalence,alert_rate,ppv,ppv_lo,ppv_hi,recall,rec_lo,rec_hi,f1,baseline_ppv,baseline_recall,baseline_f1,op
R079,,,7211,984.0,3561.0,653,2908,321,0.1364719069637102,0.4938288725558175,0.18337545633249086,0.17100896602474935,0.19642433331025394,0.6636178861788617,0.6335115464920297,0.6924516909533903,0.28734873487348733,0.1364719069637102,0.4938288725558175,0.2138463734815783,ppv30
I10,,,7211,1145.0,108.0,45,63,1088,0.1587501751436177,0.014977118291499098,0.4166666666666667,0.32811500213080924,0.5109428911602836,0.039301310043668124,0.029500583146322583,0.05218297562515841,0.07182761372705507,0.1587501751436177,0.014977118291499098,0.02737186661818512,ppv30
E119,,,7211,459.0,1523.0,179,1344,275,0.0636121619728177,0.2112051033143808,0.1175311884438608,0.10231092680062398,0.13467599592819304,0.3899782135076253,0.3464470211292728,0.43533570797769866,0.18062563067608475,0.0636121619728177,0.2112051033143808,0.09777561266014043,ppv30
R55,,,7211,384.0,1341.0,120,1221,260,0.0532436598010368,0.18596588545278048,0.0894854586129754,0.0753573665669674,0.10595877090140104,0.3125,0.26818988474128835,0.36052438309934043,0.1391304347826087,0.0532436598010368,0.18596588545278048,0.08278519428762984,ppv30
R42,,,7211,300.0,2094.0,143,1951,154,0.0416141235813367,0.29038968242962143,0.06829035339063992,0.05825798533908597,0.07990377021303714,0.4766666666666667,0.42080166187431245,0.533121676782833,0.11946532999164577,0.0416141235813367,0.29038968242962143,0.0727962265045391,ppv30
I4891,,,7211,252.0,22.0,18,4,231,0.0348886086591004,0.0030508944667868533,0.8181818181818182,0.6148339256287345,0.9269311541657794,0.07142857142857142,0.045656398873952675,0.11007074169327227,0.13138686131386862,0.0348886086591004,0.0030508944667868533,0.005611115293669365,ppv30
R0789,,,7211,235.0,505.0,61,444,172,0.0326467703516883,0.07003189571488004,0.12079207920792079,0.09519518126030653,0.1521145782713715,0.25957446808510637,0.2077083573542213,0.31917445202925043,0.16486486486486485,0.0326467703516883,0.07003189571488004,0.04453340317480976,ppv30
J189,,,7211,293.0,704.0,75,629,215,0.0406333193218439,0.0976286229371793,0.10653409090909091,0.08584122983461163,0.13149763454471294,0.25597269624573377,0.2093851632506211,0.3088761989993921,0.15045135406218657,0.0406333193218439,0.0976286229371793,0.05738347004161818,ppv30
I509,,,7211,221.0,29.0,9,20,210,0.0306851618327028,0.004021633615309943,0.3103448275862069,0.17275616744483216,0.4923013423309317,0.04072398190045249,0.02157052786731122,0.07557107108536318,0.072,0.0306851618327028,0.004021633615309943,0.007111257419456696,ppv30
E780,,,7211,228.0,1331.0,81,1250,145,0.0316659660921956,0.18457911524060464,0.0608564988730278,0.049233303631404185,0.075007262710618,0.35526315789473684,0.29600927745139266,0.4193134248136741,0.10391276459268763,0.0316659660921956,0.18457911524060464,0.05405788625121338,ppv30
